Tweet id,Tweet permalink,Tweet text,time,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks,app opens,app installs,follows,email tweet,dial phone,media views,media engagements,promoted impressions,promoted engagements,promoted engagement rate,promoted retweets,promoted replies,promoted likes,promoted user profile clicks,promoted url clicks,promoted hashtag clicks,promoted detail expands,promoted permalink clicks,promoted app opens,promoted app installs,promoted follows,promoted email tweet,promoted dial phone,promoted media views,promoted media engagements
7.93156693471273E+017,https://twitter.com/CatalystCouncil/status/793156693471272960,Happy Halloween! 🐈🐾🎃 https://t.co/KhgRFLTPnl,2016-10-31 18:24 +0000,224,8,0.0357142857,1,0,3,0,0,0,0,0,0,0,0,0,0,19,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.93025470983877E+017,https://twitter.com/CatalystCouncil/status/793025470983876608,Keep your cats calm and indoors today - safe from unfamiliar costumes and trick-or-treaters! https://t.co/O34heAzI9M #HappyHalloween,2016-10-31 09:43 +0000,277,6,0.0216606498,1,0,2,0,0,0,3,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.92750030864126E+017,https://twitter.com/CatalystCouncil/status/792750030864125957,Matthew Levien on the benefits of adopting cats in pairs rather than individual adoption: https://t.co/h16cJkvE4N https://t.co/mL07cip1DU,2016-10-30 15:28 +0000,393,8,0.0203562341,4,0,3,0,1,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.92471861489795E+017,https://twitter.com/CatalystCouncil/status/792471861489795072,Happy #NationalCatDay &amp; #Caturday! Enjoy their Instagram cuteness. https://t.co/79FZW3edIv,2016-10-29 21:03 +0000,850,3,0.0035294118,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.92399466628321E+017,https://twitter.com/CatalystCouncil/status/792399466628321280,Cats always win. https://t.co/oTju1xyVQP,2016-10-29 16:15 +0000,285,6,0.0210526316,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.92398422980583E+017,https://twitter.com/CatalystCouncil/status/792398422980583424,"Keep Halloween party hazards away from your cats to give them a happy, safe holiday weekend. https://t.co/qyMJnHg1aT https://t.co/O3dZwZQI1p",2016-10-29 16:11 +0000,311,8,0.0257234727,2,0,1,0,1,0,2,0,0,0,0,0,0,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.92075881401422E+017,https://twitter.com/CatalystCouncil/status/792075881401421824,"Learn about taking your cats to the vet with our featured tool ""Feline Life Stage Guidelines."" https://t.co/dbqDuWAbXW via @drkarenbecker",2016-10-28 18:49 +0000,315,2,0.0063492063,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.92009487984886E+017,https://twitter.com/CatalystCouncil/status/792009487984885760,"Does your veterinarian know FeLV provirus status of their cat blood donors?: Nesina S, Helfer... https://t.co/xnmzZSfTw6 via @WinnFeline",2016-10-28 14:25 +0000,428,1,0.0023364486,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.91721925466731E+017,https://twitter.com/CatalystCouncil/status/791721925466730496,"How to keep indoor cats, community cats, and black cats safe and happy during Halloween: https://t.co/qyMJnHxC2r https://t.co/9O520OB88i",2016-10-27 19:23 +0000,341,2,0.0058651026,1,0,1,0,0,0,0,0,0,0,0,0,0,29,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.91720258302161E+017,https://twitter.com/CatalystCouncil/status/791720258302160896,"Winter shelters, keeping food from freezing, &amp; TNR in ""How to Care for Outdoor Cats in Winter"" https://t.co/wzMfAFvbTF via @HumaneSociety",2016-10-27 19:16 +0000,363,4,0.0110192837,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.91317975756268E+017,https://twitter.com/CatalystCouncil/status/791317975756267521,Unfamiliar people &amp; costumes can spook even the bravest cats! Give Your Pets a Safe &amp; Happy Halloween https://t.co/nEhmvqXlrL @HumaneSociety,2016-10-26 16:38 +0000,391,2,0.0051150895,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.90925053424656E+017,https://twitter.com/CatalystCouncil/status/790925053424656384,"Famciclovir use for ocular, respiratory and dermatologic disease attributed to feline herpesv... https://t.co/uF3Laa3znb via @WinnFeline",2016-10-25 14:36 +0000,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.90882729168548E+017,https://twitter.com/CatalystCouncil/status/790882729168547840,"Signs of seperation anxiety can be subtle, but you can take simple, effective steps to ease your cat's mind. https://t.co/Av0vVH95QV",2016-10-25 11:48 +0000,520,27,0.0519230769,4,0,4,0,11,0,8,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.90878948192293E+017,https://twitter.com/CatalystCouncil/status/790878948192292864,The Halloween countdown is on! How are you including your cat in the fun? https://t.co/XmR64xCrpS,2016-10-25 11:33 +0000,378,4,0.0105820106,0,0,0,0,0,0,1,0,0,0,0,0,0,3,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
7.90623638668083E+017,https://twitter.com/CatalystCouncil/status/790623638668083200,"Halloween is one week away, and your cat has some party rules! https://t.co/04pCBKvAJE",2016-10-24 18:38 +0000,380,10,0.0263157895,1,0,1,0,0,0,2,0,0,0,0,0,0,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
